year,Surv.SST,Surv.BT,BT.GOM,BT.GB,BT.MAB,BT.SS,SST.GOM,SST.GB,SST.MAB,SST.SS,GSI,CP,HW,HW.GB,HW.GOM,HW.MAB,Abund,Num.GB,Num.GOM,Num.MAB,ZooDens,CAD,CC5,Cope,SPR,logR.dev,Rs
1982,12.77361672,10.9275049,6.718238826,9.07940416,12.79765302,7.067562953,8.760281242,9.489111111,15.08408548,7.124031987,-0.494856573,-0.732433949,16.64685,20.9661,12.3276,NA,407328983.8,142169061.3,950553927,129263963.2,2.674847038,597.5903543,5923.355584,3260.472969,0.2729209,-0.4489552,3.164793263
1983,11.65990887,9.869389479,6.749958991,9.230801979,10.99518686,7.725693497,8.815575782,10.25116727,12.91061427,8.334333788,-0.290645342,0.094089798,120.3176,127.3955,113.2397,NA,291398353.9,118622176.7,664889746.6,90683138.46,2.370721444,635.0322409,2046.558168,1340.795205,0.2929284,-0.7920529,2.997736001
1984,11.52107385,10.01084211,6.21592285,8.742704704,11.28118883,8.164114833,7.343305877,9.284575937,13.13691434,8.344116474,0.447445648,-1.340202396,44.5401,35.1723,60.2275,38.2205,208626726.3,146327374.4,369812907,109739897.6,2.226404375,908.2589141,2544.596935,1726.427925,0.2730506,0.4054424,4.162781757
1985,12.07086861,10.74465089,7.494129496,9.902668446,12.04849583,8.062157383,9.10491453,10.46903156,13.61620282,6.929177719,0.675206926,0.433856527,37.8099,NA,9.4853,66.1345,214864337,152780866.4,386482819.7,105329324.8,2.207565299,432.2254729,2071.618057,1251.921765,0.259725,0.2021429,3.970806839
1986,11.97002969,10.6097851,7.848119693,10.88731858,11.5945932,8.772783414,9.371294779,10.45140187,13.3594535,8.633994334,0.2028943,1.386511653,16.82895,15.7494,NA,17.9085,297252778.2,112916271.2,694560807.4,84281256.09,2.199353464,594.5257447,3287.411648,1940.968696,0.2340829,0.06653083,3.531194586
1987,10.66305649,8.837520659,6.246534074,9.177743702,9.408438039,6.625515661,8.194413571,10.46260679,11.5209472,6.807410237,-0.670503604,-0.639225918,NA,NA,NA,NA,910057027.5,137324825.6,2506240886,86605371.24,2.481630947,639.323864,3397.967998,2018.645931,0.2177183,0.35015,3.656442824
1988,10.47614846,8.761154774,6.659761129,8.017621998,9.713360483,7.255493352,8.288686211,9.405603149,11.72457211,7.037298091,-0.625483129,-0.684770652,12.3242,12.3242,NA,NA,304090439.4,102713442.2,580830584.5,228727291.5,2.382040368,509.9187125,1898.697755,1204.308234,0.209222,0.7279491,3.738603749
1989,13.0000614,10.71795516,6.568834532,9.127960889,13.17232877,8.063018066,9.469582734,10.03734427,16.00908023,9.64218916,-0.850073365,-0.226831461,9.34955,NA,9.3678,9.3313,422686945.1,156678204.7,546475537.2,564907093.3,NA,625.7187581,572.467872,599.093315,0.2227996,0.88066,3.899421954
1990,11.77954309,10.12171488,6.617728119,6.836144008,11.41315749,8.05875,9.525389917,6.015810811,13.21913817,9.374479167,0.101839421,0.841894832,76.60153333,132.235,52.9397,44.6299,437487828,68647410.28,585594313.8,658221760.1,NA,187.1738184,489.7896736,338.481746,0.1998174,0.9437933,3.846346553
1991,11.84893435,10.14015098,6.928888013,9.065773061,11.32778546,8.025834464,9.256091796,10.30804246,13.04691244,7.826594301,0.859442628,0.476630795,35.09453333,21.8238,24.2702,59.1896,383765419.8,131399984.2,584312666.8,435583608.3,NA,271.0444334,3862.755001,2066.899717,0.1885841,0.7782042,3.68360636
1992,11.00195478,9.831851831,6.874973046,9.426737695,10.91852607,8.175656224,8.367153098,9.857959735,12.26084859,7.712918202,0.281783736,0.084728329,NA,NA,NA,NA,484270231.3,240019559.3,531300779.7,681490355,NA,483.3810365,3705.058294,2094.219665,0.1911144,0.1008297,2.768762617
1993,10.69715054,8.540601737,6.42827008,9.232354676,9.121824008,8.278250973,8.956045853,10.24664406,11.50667225,8.340649059,0.56129269,-0.455114051,35.2508,NA,NA,35.2508,422929458.4,252859316.4,589235674,426693384.9,3.10517639,592.3185762,2290.597938,1441.458257,0.1853427,0.1009797,2.346192583
1994,12.01368807,10.9380875,8.235531945,10.11819437,11.81561314,9.370723798,10.41554407,10.34734061,12.99767501,9.09593427,0.844028302,-0.006079862,51.1492,98.4357,30.8745,24.1374,500433254.3,221814191.2,500842126.6,778643445.1,NA,812.7924913,4390.28397,2601.538231,0.1637801,0.1967501,2.30974247
1995,12.65886735,11.53512473,7.050914048,10.57301298,13.31795945,8.132004035,9.424304671,10.37755017,14.37220274,8.136482183,1.0914106,0.527291186,47.8599,26.466,NA,69.2538,394184328.7,183844629.1,624504749.3,374203607.7,2.620666557,613.8261545,2869.320599,1741.573377,0.1648042,1.248378,3.514787004
1996,11.70087421,10.25502995,8.033167253,8.594652053,11.43869941,7.687316112,9.335863632,9.584984814,13.11163095,7.626026963,-0.447046962,-1.133416168,14.2512,NA,NA,14.2512,1979414513,226606641.3,5327269756,384367141.4,3.103404951,344.1291017,3589.085884,1966.607493,0.1629544,0.4245765,2.838484558
1997,11.81484015,10.61627332,7.17717384,9.556847615,11.9517474,7.71716791,9.035581212,10.24793977,13.25225687,7.164428872,-0.3809988,0.111095658,NA,NA,NA,NA,384912887.8,188395597.7,635817372.2,330525693.6,2.908841675,782.3300842,4384.567476,2583.44878,0.1960076,0.3954175,2.909474752
1998,11.47925722,9.787105643,6.526508932,9.675570192,11.27694573,6.418501672,8.084193232,10.79324924,13.2262651,6.750607287,-0.253777622,-0.560613519,NA,NA,NA,NA,519002208.7,265995009,683094239.8,607917377.3,3.275929737,486.7093052,1626.598843,1056.654074,0.1621234,-0.06226842,1.745078133
1999,12.17269437,11.05672833,7.35709464,10.43095409,12.66624845,9.55148462,9.696112242,11.22532737,13.48063243,8.97524454,1.122426497,1.838444265,120.6386333,166.237,100.1712,95.5077,432416937.3,143720822.3,940640889,212889100.4,2.521891872,467.1526195,3952.237197,2209.694908,0.1478445,0.9058968,2.986521639
2000,12.98855191,10.9444337,7.594172054,9.94788473,12.66625664,8.477294675,10.18272829,11.21648341,14.69709143,9.797081657,0.81379906,1.217451528,51.41266667,39.272,32.7256,82.2404,631381819,412306752.8,1219970307,261868397.3,2.851294335,462.4659735,3392.952278,1927.709126,0.1759988,-0.3200731,1.982064377
2001,12.99669918,10.63508067,6.87557147,10.1171724,12.47972932,7.508636763,9.885583705,11.87772776,14.74602347,8.796182938,0.304229918,0.87881868,47.88186667,71.2032,21.2492,51.1932,564861267,344000510.4,1023351141,327232150,2.81655947,1010.875403,7838.009398,4424.442401,0.1748467,-0.3693919,1.872523243
2002,13.72522652,11.59819844,7.713908424,10.96965688,13.1520057,8.754610102,9.851043108,12.24937095,15.48948994,9.727004433,1.311463233,0.804433996,134.0888333,131.6084,64.5322,206.1259,392342863.9,232137915.3,658588591.1,286302085.2,1.881621402,1099.748747,3940.243255,2519.996001,0.1579626,0.3893366,2.481383922
2003,13.11530022,10.81739717,6.139357473,9.169453803,12.64769475,7.306048495,8.394040151,10.84331291,15.16863748,7.877264516,0.185326982,-0.10633893,14.17303333,21.9146,11.4838,9.1207,567573130,226798584.5,1193646142,282274663.5,2.191369818,1894.744076,6904.858032,4399.801054,0.1652241,0.5864113,2.948972599
2004,12.50519722,10.64884676,5.931642695,9.319281117,12.49398982,6.692697287,8.306833024,10.80903601,14.29370649,8.287874396,-0.166858637,-2.143275063,25.8242,NA,NA,25.8242,525315721.6,399625376,829966586.1,346355202.6,2.009925089,1911.412705,5463.090422,3687.251563,0.1751374,-0.02987703,2.564455781
2005,13.82223055,11.03981236,6.950005665,9.891460659,12.87312472,7.63526285,9.05392179,11.46924076,16.20585633,9.110733061,-0.145682068,-0.079755272,63.27693333,71.3651,13.8315,104.6342,210502803.3,146247213.1,279498587.8,205762609,1.880704181,1216.051606,2510.967424,1863.509515,0.1801409,-0.3405391,2.167140813
2006,13.65640361,12.07551445,7.655527495,10.4244146,14.15590071,8.032084192,10.09464167,12.26500877,15.44880757,8.686188981,-0.058880742,1.719532015,108.9975,105.9147,113.1436,107.9342,378884590.9,407609704.3,486054964.9,242989103.4,2.010215642,895.6325324,2226.66534,1561.148936,0.1617166,0.4082298,2.842399357
2007,12.69635061,10.76446303,6.488513994,9.594007919,12.74692693,6.814281534,9.781758392,11.2430673,14.27132893,8.66403863,-0.819239906,-1.181254341,41.39335,NA,33.61,49.1767,290578507.2,237403197.2,437677607.4,196654717.1,2.033377424,1439.322214,5696.226326,3567.77427,0.1839529,-0.7339628,1.957295531
2008,10.73428964,10.09689524,7.14713734,9.241465712,11.73454469,7.051577928,9.392397402,9.772735494,11.70150978,6.374675702,0.238655196,0.323887392,43.2543,18.5302,67.9784,NA,457481059.2,401852632,747720217.6,222870327.9,2.274659226,1867.204917,4076.370372,2971.787645,0.1785504,-0.09056839,2.634307385
2009,11.50993462,10.15310989,6.973965923,9.814350256,11.67831992,7.402813411,8.210673484,10.05749505,13.38246883,8.287810892,0.702377606,0.312409908,69.4811,104.0666,51.7841,52.5926,359696094.3,173144793.4,748057923.9,157885565.8,1.983367057,1178.066644,3262.569527,2220.318085,0.1764589,1.227184,3.942581804
2010,11.6672767,10.13658309,7.303025071,10.50316974,11.03816344,8.710400182,8.852008687,11.19748787,12.87246188,7.753909942,0.335385871,-0.07656202,159.7449333,76.535,262.2376,140.4622,882106509.2,188842277.6,2122177839,335299410.5,2.1392715,647.5828525,2326.612452,1487.097652,0.1642347,-0.4175076,2.669083731
2011,12.64503942,10.54826728,8.090897472,10.66186325,11.49640902,8.140619161,9.914750936,11.48646699,14.04843597,8.475610169,-0.10256391,0.344427109,266.2967,131.7931,469.6204,197.4766,760889817.3,177424887.3,1910538903,194705661.7,2.197552855,745.4115766,3439.099369,2092.255473,0.1487846,-0.4436381,2.735006813
2012,13.7572452,11.06197549,8.279693961,11.03798749,12.39115317,9.032493481,10.33494207,12.65748042,15.71149533,10.35246252,0.709842484,2.093040509,563.5002,564.2958,620.1437,506.0611,536129856,202558324.1,1228989108,176842135.8,2.181469218,481.4736582,2594.061615,1537.767637,0.1508338,0.7002721,3.471993188
2013,11.93195773,9.817064202,7.667875801,10.54376035,10.71873275,8.410350224,9.651755598,10.96440526,13.47898742,8.418032835,0.735839169,1.348294253,163.0933333,185.8703,242.3977,61.012,631340439.3,271613033.4,1108781444,513626840.3,2.701952679,533.0564686,3214.830654,1873.943561,0.1525817,-0.7963913,1.737468225
2014,13.07606209,10.62479997,7.813664163,10.93469933,12.40010316,8.76520301,10.92880034,12.57179554,14.74148648,9.879473272,1.138061638,2.304745412,195.2339667,129.855,294.0881,161.7588,501430353.8,306838924.8,956745399.4,240706737.1,2.43464433,454.5413697,2748.766645,1601.654008,0.1717259,-0.836098,1.906723527
2015,13.07330587,10.19122222,7.050183273,10.66245027,12.03364186,8.656607429,9.567715775,11.92156877,15.72414506,9.180349599,1.31010144,2.327224945,346.3789333,334.2595,278.9725,425.9048,874988130.7,194426307.8,2261217046,169321038.1,2.953254229,465.0752434,4528.679288,2496.877266,0.1667766,-1.462495,0.880066021
2016,13.96963026,11.27070557,8.624280675,11.36609259,12.95921951,9.201289474,12.56282759,13.01571948,15.28493862,11.05564115,1.618352334,1.869831556,391.5207,297.3027,629.7933,247.4661,736956752.4,183918706.4,1823418167,203533383.5,NA,473.4038573,6317.830099,3395.616978,0.143547,-2.180138,0.407269657
2017,8.883033089,8.148701937,7.454037019,9.413027035,8.006071715,9.179574636,10.35440283,9.830167004,7.396044749,9.559893659,1.151367006,0.153582938,168.9409,163.0871,186.0201,157.7155,691732776.9,248549840.3,1637193130,189455360.2,2.486546392,672.5189505,2846.232301,1759.375626,0.1587506,-1.259703,1.777483213
2018,14.2804131,11.34058482,8.072753313,11.06002547,12.66113011,8.93681459,11.2345219,13.23713288,15.76982329,9.256948328,1.245073071,0.011618343,251.7782667,164.3507,438.9547,152.0294,1084439442,719038714.2,2286592145,247687466.8,NA,802.9369698,4623.06836,2713.002665,0.1902731,-1.472469,1.879253445
